image_id,active_attributes,active_attribute_names
11,"[8, 21, 36, 45, 51, 55, 64, 70, 102, 111, 117, 132, 146, 152, 158, 194, 203, 209, 217, 221, 228, 237, 245, 260, 284, 290, 299, 305, 309]","[""has_bill_shape::cone"", ""has_wing_color::black"", ""has_upperparts_color::black"", ""has_underparts_color::grey"", ""has_underparts_color::black"", ""has_breast_pattern::solid"", ""has_back_color::grey"", ""has_back_color::black"", ""has_head_pattern::plain"", ""has_breast_color::grey"", ""has_breast_color::black"", ""has_throat_color::black"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::grey"", ""has_nape_color::black"", ""has_belly_color::grey"", ""has_belly_color::black"", ""has_wing_shape::long-wings"", ""has_size::medium_(9_-_16_in)"", ""has_shape::gull-like"", ""has_back_pattern::solid"", ""has_belly_pattern::solid"", ""has_primary_color::black"", ""has_bill_color::grey"", ""has_bill_color::black"", ""has_crown_color::grey"", ""has_crown_color::black"", ""has_wing_pattern::solid""]"
12,"[6, 11, 26, 41, 55, 60, 77, 81, 101, 107, 122, 146, 150, 158, 169, 184, 199, 217, 218, 232, 237, 244, 245, 250, 284, 299, 309]","[""has_bill_shape::spatulate"", ""has_wing_color::brown"", ""has_upperparts_color::brown"", ""has_underparts_color::brown"", ""has_breast_pattern::solid"", ""has_back_color::brown"", ""has_tail_shape::fan-shaped_tail"", ""has_upper_tail_color::brown"", ""has_head_pattern::eyering"", ""has_breast_color::brown"", ""has_throat_color::brown"", ""has_eye_color::black"", ""has_bill_length::about_the_same_as_head"", ""has_forehead_color::grey"", ""has_under_tail_color::brown"", ""has_nape_color::brown"", ""has_belly_color::brown"", ""has_wing_shape::long-wings"", ""has_size::large_(16_-_32_in)"", ""has_shape::hawk-like"", ""has_back_pattern::solid"", ""has_tail_pattern::multi-colored"", ""has_belly_pattern::solid"", ""has_primary_color::brown"", ""has_bill_color::grey"", ""has_crown_color::grey"", ""has_wing_pattern::solid""]"
13,"[6, 10, 15, 25, 30, 40, 45, 55, 59, 64, 76, 80, 85, 102, 106, 111, 121, 146, 152, 153, 168, 173, 183, 198, 214, 215, 221, 226, 237, 241, 245, 249, 254, 264, 269, 279, 284, 294, 299, 309]","[""has_bill_shape::spatulate"", ""has_wing_color::blue"", ""has_wing_color::grey"", ""has_upperparts_color::blue"", ""has_upperparts_color::grey"", ""has_underparts_color::blue"", ""has_underparts_color::grey"", ""has_breast_pattern::solid"", ""has_back_color::blue"", ""has_back_color::grey"", ""has_tail_shape::notched_tail"", ""has_upper_tail_color::blue"", ""has_upper_tail_color::grey"", ""has_head_pattern::plain"", ""has_breast_color::blue"", ""has_breast_color::grey"", ""has_throat_color::blue"", ""has_eye_color::black"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::blue"", ""has_under_tail_color::blue"", ""has_under_tail_color::grey"", ""has_nape_color::blue"", ""has_belly_color::blue"", ""has_wing_shape::pointed-wings"", ""has_wing_shape::broad-wings"", ""has_size::medium_(9_-_16_in)"", ""has_shape::duck-like"", ""has_back_pattern::solid"", ""has_tail_pattern::solid"", ""has_belly_pattern::solid"", ""has_primary_color::blue"", ""has_primary_color::grey"", ""has_leg_color::blue"", ""has_leg_color::grey"", ""has_bill_color::blue"", ""has_bill_color::grey"", ""has_crown_color::blue"", ""has_crown_color::grey"", ""has_wing_pattern::solid""]"
14,"[7, 11, 15, 26, 36, 45, 54, 58, 60, 64, 74, 91, 102, 107, 111, 122, 146, 167, 169, 173, 184, 199, 203, 214, 219, 235, 240, 244, 248, 250, 254, 265, 284, 308, 312]","[""has_bill_shape::all-purpose"", ""has_wing_color::brown"", ""has_wing_color::grey"", ""has_upperparts_color::brown"", ""has_upperparts_color::black"", ""has_underparts_color::grey"", ""has_underparts_color::buff"", ""has_breast_pattern::multi-colored"", ""has_back_color::brown"", ""has_back_color::grey"", ""has_tail_shape::forked_tail"", ""has_upper_tail_color::black"", ""has_head_pattern::plain"", ""has_breast_color::brown"", ""has_breast_color::grey"", ""has_throat_color::brown"", ""has_eye_color::black"", ""has_forehead_color::buff"", ""has_under_tail_color::brown"", ""has_under_tail_color::grey"", ""has_nape_color::brown"", ""has_belly_color::brown"", ""has_belly_color::grey"", ""has_wing_shape::pointed-wings"", ""has_size::small_(5_-_9_in)"", ""has_shape::swallow-like"", ""has_back_pattern::multi-colored"", ""has_tail_pattern::multi-colored"", ""has_belly_pattern::multi-colored"", ""has_primary_color::brown"", ""has_primary_color::grey"", ""has_leg_color::brown"", ""has_bill_color::grey"", ""has_crown_color::buff"", ""has_wing_pattern::multi-colored""]"
15,"[8, 14, 38, 53, 55, 72, 76, 93, 105, 119, 134, 148, 152, 166, 181, 196, 211, 214, 219, 234, 237, 241, 245, 262, 277, 292, 307, 309]","[""has_bill_shape::cone"", ""has_wing_color::rufous"", ""has_upperparts_color::red"", ""has_underparts_color::red"", ""has_breast_pattern::solid"", ""has_back_color::red"", ""has_tail_shape::notched_tail"", ""has_upper_tail_color::red"", ""has_head_pattern::capped"", ""has_breast_color::red"", ""has_throat_color::red"", ""has_eye_color::red"", ""has_bill_length::shorter_than_head"", ""has_forehead_color::red"", ""has_under_tail_color::red"", ""has_nape_color::red"", ""has_belly_color::red"", ""has_wing_shape::pointed-wings"", ""has_size::small_(5_-_9_in)"", ""has_shape::upland-ground-like"", ""has_back_pattern::solid"", ""has_tail_pattern::solid"", ""has_belly_pattern::solid"", ""has_primary_color::red"", ""has_leg_color::red"", ""has_bill_color::red"", ""has_crown_color::red"", ""has_wing_pattern::solid""]"
16,"[5, 15, 39, 55, 64, 75, 94, 104, 111, 122, 146, 150, 158, 173, 182, 184, 215, 222, 230, 240, 244, 254, 284, 299, 312]","[""has_bill_shape::hooked_seabird"", ""has_wing_color::grey"", ""has_upperparts_color::buff"", ""has_breast_pattern::solid"", ""has_back_color::grey"", ""has_tail_shape::rounded_tail"", ""has_upper_tail_color::buff"", ""has_head_pattern::striped"", ""has_breast_color::grey"", ""has_throat_color::brown"", ""has_eye_color::black"", ""has_bill_length::about_the_same_as_head"", ""has_forehead_color::grey"", ""has_under_tail_color::grey"", ""has_under_tail_color::buff"", ""has_nape_color::brown"", ""has_wing_shape::broad-wings"", ""has_size::very_small_(3_-_5_in)"", ""has_shape::pigeon-like"", ""has_back_pattern::multi-colored"", ""has_tail_pattern::multi-colored"", ""has_primary_color::grey"", ""has_bill_color::grey"", ""has_crown_color::grey"", ""has_wing_pattern::multi-colored""]"
17,"[6, 11, 15, 24, 26, 39, 41, 54, 55, 60, 73, 78, 91, 92, 94, 102, 107, 120, 122, 133, 135, 146, 150, 154, 165, 167, 180, 182, 184, 197, 199, 212, 217, 221, 226, 237, 244, 245, 250, 263, 275, 280, 293, 295, 308, 309]","[""has_bill_shape::spatulate"", ""has_wing_color::brown"", ""has_wing_color::grey"", ""has_wing_color::buff"", ""has_upperparts_color::brown"", ""has_upperparts_color::buff"", ""has_underparts_color::brown"", ""has_underparts_color::buff"", ""has_breast_pattern::solid"", ""has_back_color::brown"", ""has_back_color::buff"", ""has_tail_shape::pointed_tail"", ""has_upper_tail_color::black"", ""has_upper_tail_color::white"", ""has_upper_tail_color::buff"", ""has_head_pattern::plain"", ""has_breast_color::brown"", ""has_breast_color::buff"", ""has_throat_color::brown"", ""has_throat_color::white"", ""has_throat_color::buff"", ""has_eye_color::black"", ""has_bill_length::about_the_same_as_head"", ""has_forehead_color::brown"", ""has_forehead_color::white"", ""has_forehead_color::buff"", ""has_under_tail_color::white"", ""has_under_tail_color::buff"", ""has_nape_color::brown"", ""has_nape_color::buff"", ""has_belly_color::brown"", ""has_belly_color::buff"", ""has_wing_shape::long-wings"", ""has_size::medium_(9_-_16_in)"", ""has_shape::duck-like"", ""has_back_pattern::solid"", ""has_tail_pattern::multi-colored"", ""has_belly_pattern::solid"", ""has_primary_color::brown"", ""has_primary_color::buff"", ""has_leg_color::black"", ""has_bill_color::brown"", ""has_bill_color::buff"", ""has_crown_color::brown"", ""has_crown_color::buff"", ""has_wing_pattern::solid""]"
18,"[5, 75, 150, 218, 232, 250, 260, 293]","[""has_bill_shape::hooked_seabird"", ""has_tail_shape::rounded_tail"", ""has_bill_length::about_the_same_as_head"", ""has_size::large_(16_-_32_in)"", ""has_shape::hawk-like"", ""has_primary_color::brown"", ""has_primary_color::black"", ""has_bill_color::buff""]"
19,"[6, 12, 27, 42, 55, 61, 77, 82, 102, 108, 123, 146, 150, 155, 170, 185, 200, 213, 218, 226, 239, 247, 251, 269, 281, 296, 311]","[""has_bill_shape::spatulate"", ""has_wing_color::iridescent"", ""has_upperparts_color::iridescent"", ""has_underparts_color::iridescent"", ""has_breast_pattern::solid"", ""has_back_color::iridescent"", ""has_tail_shape::fan-shaped_tail"", ""has_upper_tail_color::iridescent"", ""has_head_pattern::plain"", ""has_breast_color::iridescent"", ""has_throat_color::iridescent"", ""has_eye_color::black"", ""has_bill_length::about_the_same_as_head"", ""has_forehead_color::iridescent"", ""has_under_tail_color::iridescent"", ""has_nape_color::iridescent"", ""has_belly_color::iridescent"", ""has_wing_shape::rounded-wings"", ""has_size::large_(16_-_32_in)"", ""has_shape::duck-like"", ""has_back_pattern::striped"", ""has_belly_pattern::striped"", ""has_primary_color::iridescent"", ""has_leg_color::grey"", ""has_bill_color::iridescent"", ""has_crown_color::iridescent"", ""has_wing_pattern::striped""]"
20,"[5, 54, 58, 73, 79, 102, 120, 133, 135, 146, 149, 150, 167, 169, 180, 182, 197, 212, 221, 228, 245, 250, 263, 265, 290, 293, 308, 311]","[""has_bill_shape::hooked_seabird"", ""has_underparts_color::buff"", ""has_breast_pattern::multi-colored"", ""has_back_color::buff"", ""has_tail_shape::squared_tail"", ""has_head_pattern::plain"", ""has_breast_color::buff"", ""has_throat_color::white"", ""has_throat_color::buff"", ""has_eye_color::black"", ""has_eye_color::buff"", ""has_bill_length::about_the_same_as_head"", ""has_forehead_color::buff"", ""has_under_tail_color::brown"", ""has_under_tail_color::white"", ""has_under_tail_color::buff"", ""has_nape_color::buff"", ""has_belly_color::buff"", ""has_size::medium_(9_-_16_in)"", ""has_shape::gull-like"", ""has_belly_pattern::solid"", ""has_primary_color::brown"", ""has_primary_color::buff"", ""has_leg_color::brown"", ""has_bill_color::black"", ""has_bill_color::buff"", ""has_crown_color::buff"", ""has_wing_pattern::striped""]"
21,"[5, 21, 36, 55, 70, 91, 103, 111, 132, 146, 150, 158, 179, 188, 221, 226, 237, 241, 260, 284, 299, 309]","[""has_bill_shape::hooked_seabird"", ""has_wing_color::black"", ""has_upperparts_color::black"", ""has_breast_pattern::solid"", ""has_back_color::black"", ""has_upper_tail_color::black"", ""has_head_pattern::eyeline"", ""has_breast_color::grey"", ""has_throat_color::black"", ""has_eye_color::black"", ""has_bill_length::about_the_same_as_head"", ""has_forehead_color::grey"", ""has_under_tail_color::black"", ""has_nape_color::grey"", ""has_size::medium_(9_-_16_in)"", ""has_shape::duck-like"", ""has_back_pattern::solid"", ""has_tail_pattern::solid"", ""has_primary_color::black"", ""has_bill_color::grey"", ""has_crown_color::grey"", ""has_wing_pattern::solid""]"
22,"[6, 146, 150, 221, 226, 250, 260, 263, 293]","[""has_bill_shape::spatulate"", ""has_eye_color::black"", ""has_bill_length::about_the_same_as_head"", ""has_size::medium_(9_-_16_in)"", ""has_shape::duck-like"", ""has_primary_color::brown"", ""has_primary_color::black"", ""has_primary_color::buff"", ""has_bill_color::buff""]"
23,"[6, 11, 24, 26, 39, 60, 73, 78, 94, 96, 133, 135, 146, 150, 165, 167, 182, 197, 214, 221, 226, 240, 250, 263, 269, 280, 308, 312]","[""has_bill_shape::spatulate"", ""has_wing_color::brown"", ""has_wing_color::buff"", ""has_upperparts_color::brown"", ""has_upperparts_color::buff"", ""has_back_color::brown"", ""has_back_color::buff"", ""has_tail_shape::pointed_tail"", ""has_upper_tail_color::buff"", ""has_head_pattern::malar"", ""has_throat_color::white"", ""has_throat_color::buff"", ""has_eye_color::black"", ""has_bill_length::about_the_same_as_head"", ""has_forehead_color::white"", ""has_forehead_color::buff"", ""has_under_tail_color::buff"", ""has_nape_color::buff"", ""has_wing_shape::pointed-wings"", ""has_size::medium_(9_-_16_in)"", ""has_shape::duck-like"", ""has_back_pattern::multi-colored"", ""has_primary_color::brown"", ""has_primary_color::buff"", ""has_leg_color::grey"", ""has_bill_color::brown"", ""has_crown_color::buff"", ""has_wing_pattern::multi-colored""]"
24,"[6, 21, 24, 36, 39, 70, 73, 91, 100, 135, 146, 150, 167, 197, 221, 226, 238, 242, 263, 290, 293, 308, 310]","[""has_bill_shape::spatulate"", ""has_wing_color::black"", ""has_wing_color::buff"", ""has_upperparts_color::black"", ""has_upperparts_color::buff"", ""has_back_color::black"", ""has_back_color::buff"", ""has_upper_tail_color::black"", ""has_head_pattern::eyebrow"", ""has_throat_color::buff"", ""has_eye_color::black"", ""has_bill_length::about_the_same_as_head"", ""has_forehead_color::buff"", ""has_nape_color::buff"", ""has_size::medium_(9_-_16_in)"", ""has_shape::duck-like"", ""has_back_pattern::spotted"", ""has_tail_pattern::spotted"", ""has_primary_color::buff"", ""has_bill_color::black"", ""has_bill_color::buff"", ""has_crown_color::buff"", ""has_wing_pattern::spotted""]"
25,"[5, 11, 26, 55, 60, 81, 105, 117, 132, 146, 150, 165, 169, 194, 217, 221, 228, 237, 241, 250, 290, 305, 309]","[""has_bill_shape::hooked_seabird"", ""has_wing_color::brown"", ""has_upperparts_color::brown"", ""has_breast_pattern::solid"", ""has_back_color::brown"", ""has_upper_tail_color::brown"", ""has_head_pattern::capped"", ""has_breast_color::black"", ""has_throat_color::black"", ""has_eye_color::black"", ""has_bill_length::about_the_same_as_head"", ""has_forehead_color::white"", ""has_under_tail_color::brown"", ""has_nape_color::black"", ""has_wing_shape::long-wings"", ""has_size::medium_(9_-_16_in)"", ""has_shape::gull-like"", ""has_back_pattern::solid"", ""has_tail_pattern::solid"", ""has_primary_color::brown"", ""has_bill_color::black"", ""has_crown_color::black"", ""has_wing_pattern::solid""]"
26,"[6, 12, 15, 24, 27, 30, 42, 45, 55, 64, 78, 82, 85, 92, 102, 111, 123, 126, 146, 150, 158, 165, 188, 215, 221, 226, 240, 244, 248, 254, 263, 269, 284, 296, 308, 312]","[""has_bill_shape::spatulate"", ""has_wing_color::iridescent"", ""has_wing_color::grey"", ""has_wing_color::buff"", ""has_upperparts_color::iridescent"", ""has_upperparts_color::grey"", ""has_underparts_color::iridescent"", ""has_underparts_color::grey"", ""has_breast_pattern::solid"", ""has_back_color::grey"", ""has_tail_shape::pointed_tail"", ""has_upper_tail_color::iridescent"", ""has_upper_tail_color::grey"", ""has_upper_tail_color::white"", ""has_head_pattern::plain"", ""has_breast_color::grey"", ""has_throat_color::iridescent"", ""has_throat_color::grey"", ""has_eye_color::black"", ""has_bill_length::about_the_same_as_head"", ""has_forehead_color::grey"", ""has_forehead_color::white"", ""has_nape_color::grey"", ""has_wing_shape::broad-wings"", ""has_size::medium_(9_-_16_in)"", ""has_shape::duck-like"", ""has_back_pattern::multi-colored"", ""has_tail_pattern::multi-colored"", ""has_belly_pattern::multi-colored"", ""has_primary_color::grey"", ""has_primary_color::buff"", ""has_leg_color::grey"", ""has_bill_color::grey"", ""has_crown_color::iridescent"", ""has_crown_color::buff"", ""has_wing_pattern::multi-colored""]"
27,"[6, 11, 26, 41, 55, 60, 76, 81, 94, 99, 107, 122, 137, 150, 154, 184, 196, 199, 213, 222, 232, 239, 243, 245, 250, 280, 295, 311]","[""has_bill_shape::spatulate"", ""has_wing_color::brown"", ""has_upperparts_color::brown"", ""has_underparts_color::brown"", ""has_breast_pattern::solid"", ""has_back_color::brown"", ""has_tail_shape::notched_tail"", ""has_upper_tail_color::brown"", ""has_upper_tail_color::buff"", ""has_head_pattern::unique_pattern"", ""has_breast_color::brown"", ""has_throat_color::brown"", ""has_eye_color::brown"", ""has_bill_length::about_the_same_as_head"", ""has_forehead_color::brown"", ""has_nape_color::brown"", ""has_nape_color::red"", ""has_belly_color::brown"", ""has_wing_shape::rounded-wings"", ""has_size::very_small_(3_-_5_in)"", ""has_shape::hawk-like"", ""has_back_pattern::striped"", ""has_tail_pattern::striped"", ""has_belly_pattern::solid"", ""has_primary_color::brown"", ""has_bill_color::brown"", ""has_crown_color::brown"", ""has_wing_pattern::striped""]"
28,"[7, 15, 30, 45, 58, 64, 79, 85, 100, 111, 126, 146, 150, 158, 173, 188, 203, 217, 221, 236, 240, 243, 247, 254, 275, 284, 299, 312]","[""has_bill_shape::all-purpose"", ""has_wing_color::grey"", ""has_upperparts_color::grey"", ""has_underparts_color::grey"", ""has_breast_pattern::multi-colored"", ""has_back_color::grey"", ""has_tail_shape::squared_tail"", ""has_upper_tail_color::grey"", ""has_head_pattern::eyebrow"", ""has_breast_color::grey"", ""has_throat_color::grey"", ""has_eye_color::black"", ""has_bill_length::about_the_same_as_head"", ""has_forehead_color::grey"", ""has_under_tail_color::grey"", ""has_nape_color::grey"", ""has_belly_color::grey"", ""has_wing_shape::long-wings"", ""has_size::medium_(9_-_16_in)"", ""has_shape::perching-like"", ""has_back_pattern::multi-colored"", ""has_tail_pattern::striped"", ""has_belly_pattern::striped"", ""has_primary_color::grey"", ""has_leg_color::black"", ""has_bill_color::grey"", ""has_crown_color::grey"", ""has_wing_pattern::multi-colored""]"
29,"[5, 21, 36, 51, 55, 70, 75, 102, 117, 132, 150, 164, 179, 209, 214, 221, 228, 237, 241, 245, 260, 275, 290, 305, 309]","[""has_bill_shape::hooked_seabird"", ""has_wing_color::black"", ""has_upperparts_color::black"", ""has_underparts_color::black"", ""has_breast_pattern::solid"", ""has_back_color::black"", ""has_tail_shape::rounded_tail"", ""has_head_pattern::plain"", ""has_breast_color::black"", ""has_throat_color::black"", ""has_bill_length::about_the_same_as_head"", ""has_forehead_color::black"", ""has_under_tail_color::black"", ""has_belly_color::black"", ""has_wing_shape::pointed-wings"", ""has_size::medium_(9_-_16_in)"", ""has_shape::gull-like"", ""has_back_pattern::solid"", ""has_tail_pattern::solid"", ""has_belly_pattern::solid"", ""has_primary_color::black"", ""has_leg_color::black"", ""has_bill_color::black"", ""has_crown_color::black"", ""has_wing_pattern::solid""]"
